"Key","Имя КЕ","Объект обслуживания (АС/ПС)","Discovery_CPU Count","Discovery_RAM (Gb)","Discovery_vSphere"
"CMDB-234200","ACS-LB-PROD НЕ УДАЛЯТЬ !!!","ПО «Lekton Classic PR»","2","8","vcsa67.belpsb.by"
"CMDB-1330222","AIRFLOW1","Data Lake","16","128","vcsa67.belpsb.by"
"CMDB-1340689","AIRFLOW2","Data Lake","16","128","vcsa67.belpsb.by"
"CMDB-572914","Appibs-print2209","БИК IBSO","4","12","vcsa67.belpsb.by"
"CMDB-234284","Av-pr-prom-srv1","СХЭД","2","4","vcsa67.belpsb.by"
"CMDB-960826","BFT-nginx","СБОЛ","2","4","vcsa70-old"
"CMDB-1330233","BIFROST-BACK1","Data Lake","16","48","vcsa67.belpsb.by"
"CMDB-1340678","BIFROST-BACK2","Data Lake","16","48","vcsa67.belpsb.by"
"CMDB-235980","BPC-Proxy-PRD","ПО «Lekton Classic PR»","2","4","vcsa67.belpsb.by"
"CMDB-235981","BPC-Proxy-REZ","ПО «Lekton Classic PR»","2","4","vcsa67.belpsb.by"
"CMDB-231433","crm-ngxs-prom","Siebel CRM","4","8","vcsa67.belpsb.by"
"CMDB-232687","crm20","Siebel CRM","8","8","vcsa67.belpsb.by"
"CMDB-232692","crm20-rez","Siebel CRM","4","8","vcsa67.belpsb.by"
"CMDB-231423","crm20a","Siebel CRM","16","64","vcsa67.belpsb.by"
"CMDB-231425","crm20b","Siebel CRM","16","64","vcsa67.belpsb.by"
"CMDB-231424","crm20gtw-a","Siebel CRM","8","8","vcsa67.belpsb.by"
"CMDB-231426","crm20gtw-b","Siebel CRM","8","8","vcsa67.belpsb.by"
"CMDB-232689","crm20gwa","Siebel CRM","8","12","vcsa67.belpsb.by"
"CMDB-232690","crm20gwb","Siebel CRM","8","12","vcsa67.belpsb.by"
"CMDB-232691","crm20gwc","Siebel CRM","8","8","vcsa67.belpsb.by"
"CMDB-231427","crm20i","Siebel CRM","16","64","vcsa67.belpsb.by"
"CMDB-231428","crm20m","Siebel CRM","16","64","vcsa67.belpsb.by"
"CMDB-231430","crm20weba","Siebel CRM","8","12","vcsa67.belpsb.by"
"CMDB-231429","crm20webb","Siebel CRM","4","12","vcsa67.belpsb.by"
"CMDB-232978","crm20webc","Siebel CRM","4","12","vcsa67.belpsb.by"
"CMDB-232979","crm20webd","Siebel CRM","4","12","vcsa67.belpsb.by"
"CMDB-1340685","DEBEZIUM-NGINX2","Data Lake","2","4","vcsa67.belpsb.by"
"CMDB-1330229","DEBEZIUM1","Data Lake","4","16","vcsa67.belpsb.by"
"CMDB-1340679","DEBEZIUM2","Data Lake","4","16","vcsa67.belpsb.by"
"CMDB-573028","DL-AIRFLOW-P","Data Lake","8","32","vcsa67.belpsb.by"
"CMDB-573023","DL-App1","Data Lake","2","4","vcsa67.belpsb.by"
"CMDB-573027","DL-CDSERVER-P","Data Lake","2","4","vcsa67.belpsb.by"
"CMDB-937339","DL-Datacat-P","Data Lake","2","8","vcsa67.belpsb.by"
"CMDB-573024","DL-DEBEZIUM-P","Data Lake","4","32","vcsa67.belpsb.by"
"CMDB-573031","DL-JUMPSERVER-P","Data Lake","4","4","vcsa67.belpsb.by"
"CMDB-573032","DL-KAFWORKER-1P","Data Lake","4","16","vcsa67.belpsb.by"
"CMDB-573029","DL-MONITORING-P","Data Lake","4","8","vcsa67.belpsb.by"
"CMDB-573020","DL-NGINX-P","Data Lake","2","4","vcsa67.belpsb.by"
"CMDB-573019","DL-NGINX-S3-P","Data Lake","2","4","vcsa67.belpsb.by"
"CMDB-573025","DL-PGADMIN-P","Data Lake","4","4","vcsa67.belpsb.by"
"CMDB-1104565","DL-QA","Data Lake","4","32","vcsa67.belpsb.by"
"CMDB-573021","DL-S3-1-P","Data Lake","2","4","vcsa67.belpsb.by"
"CMDB-573017","DL-VICTORIA-P","Data Lake","4","4","vcsa67.belpsb.by"
"CMDB-1330225","DQ1","Data Lake","12","32","vcsa67.belpsb.by"
"CMDB-1340686","DQ2","Data Lake","12","32","vcsa67.belpsb.by"
"CMDB-278501","EsbProxy-Prd","КСШ","2","4","vcsa67.belpsb.by"
"CMDB-237212","eus-nginx-prom","ЕУС","2","8","vcsa67.belpsb.by"
"CMDB-232502","FS-Perso12","ПО «Lekton Classic PR»","6","8","vcsa70-old.belpsb.by"
"CMDB-233010","Ibso-Crypto1","БИК IBSO","2","4","vcsa67.belpsb.by"
"CMDB-233009","Ibso-Crypto2","БИК IBSO","2","4","vcsa67.belpsb.by"
"CMDB-233012","Ibso-Crypto3","БИК IBSO","2","4","vcsa67.belpsb.by"
"CMDB-231557","IBSOadmin","БИК IBSO","4","32","vcsa67.belpsb.by"
"CMDB-231558","IBSOapp1","БИК IBSO","16","64","vcsa67.belpsb.by"
"CMDB-231559","IBSOapp2","БИК IBSO","16","64","vcsa67.belpsb.by"
"CMDB-283952","ibsojob1","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403608","ibsojob10","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403594","ibsojob11","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403591","ibsojob12","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403602","ibsojob13","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403588","ibsojob14","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403592","ibsojob15","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403587","ibsojob16","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403593","ibsojob17","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403605","ibsojob18","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403603","ibsojob19","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-283947","ibsojob2","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403611","ibsojob20","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403589","ibsojob21","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403599","ibsojob22","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403590","ibsojob23","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403606","ibsojob24","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403613","ibsojob25","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403604","ibsojob26","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403616","ibsojob27","БИК IBSO","24","48","vcsa67.belpsb.by"
"CMDB-1403612","ibsojob28","БИК IBSO","24","48","vcsa67.belpsb.by"
